removed_feature,rf_acc,svm_acc,rf_delta,svm_delta
neg_diff,0.5565,0.4475,0.001083333333333325,0.0038333333333332997
neg2,0.5566666666666666,0.4469166666666667,-0.0001666666666666483,0.0005833333333333246
neg1,0.55375,0.44558333333333333,0.0029166666666666785,0.001333333333333353
len_diff,0.5574166666666667,0.44566666666666666,-0.003666666666666707,-8.333333333332416e-05
len_ratio,0.5564166666666667,0.44483333333333336,0.0010000000000000009,0.0008333333333332971
len2,0.55325,0.4429166666666667,0.003166666666666651,0.0019166666666666776
len1,0.5526666666666666,0.4429166666666667,0.0005833333333333801,0.0
jaccard,0.5545833333333333,0.4444166666666667,-0.0019166666666666776,-0.0015000000000000013
cosine_word,0.5369166666666667,0.4355833333333333,0.01766666666666661,0.00883333333333336
word_mult,0.5345833333333333,0.40991666666666665,0.0023333333333334094,0.02566666666666667
word_diff,0.5031666666666667,0.40791666666666665,0.03141666666666665,0.0020000000000000018
