removed_feature,rf_acc,svm_acc,rf_delta,svm_delta
neg_diff,0.5645,0.4440625,0.004187500000000011,0.002999999999999947
neg2,0.5669375,0.4425625,-0.0024374999999999813,0.0015000000000000013
neg1,0.56575,0.4423125,0.001187500000000008,0.000250000000000028
len_diff,0.5646875,0.441875,0.0010624999999999662,0.00043749999999997957
len_ratio,0.5648125,0.4414375,-0.00012500000000004174,0.0004375000000000351
len2,0.5621875,0.438875,0.0026250000000000995,0.0025624999999999676
len1,0.5610625,0.4396875,0.0011249999999999316,-0.0008124999999999938
jaccard,0.5641875,0.4380625,-0.0031249999999999334,0.0016249999999999876
cosine_word,0.5470625,0.4340625,0.017124999999999946,0.0040000000000000036
word_mult,0.54275,0.4063125,0.004312500000000052,0.027749999999999997
word_diff,0.5124375,0.406375,0.030312499999999964,-6.249999999996536e-05
